SAMEA num,"sampleID (ENA, PANGAEA)",sampleID (IMIS),run accession MG,run accession 18S,run accession 16S
SAMEA3275632,OSD15_2014-06-21_0m_NPL022,OSD15_2014-06_NPL022_1,ERR771062,ERR867865,ERR867864
SAMEA3275633,OSD14_2014-06-23_2m_NPL022,OSD14_2014-06_NPL022_1,ERR771073,ERR867887,ERR867886
SAMEA3275634,OSD13_2014-06-21_0m_NPL022,OSD13_2014-06_NPL022_1,ERR771078,ERR867896,ERR867897
SAMEA3275636,OSD10_2014-06-21_1m_NPL022,OSD10_2014-06_NPL022_1,ERR771105,ERR867952,ERR867953
SAMEA3275637,OSD9_2014-06-18_0m_NPL022,OSD9_2014-06_NPL022_1,ERR770968,ERR867661,ERR867662
SAMEA3275638,OSD7_2014-06-21_0.1m_NPL022,OSD7_2014-06_NPL022_1,ERR770980,ERR867686,ERR867685
SAMEA3275639,OSD5_2014-06-19_75m_NPL022,OSD5_2014-06_NPL022_2,ERR770998,ERR867721,ERR867722
SAMEA3275640,OSD5_2014-06-19_1m_NPL022,OSD5_2014-06_NPL022_1,ERR770999,ERR867723,ERR867724
SAMEA3275642,OSD4_2014-06-20_0m_NPL022,OSD4_2014-06_NPL022_1,ERR771008,ERR867741,ERR867742
SAMEA3275643,OSD3_2014-06-20_0m_NPL022,OSD3_2014-06_NPL022_1,ERR771016,ERR867761,ERR867760
SAMEA3275645,OSD2_2014-06-20_0m_NPL022,OSD2_2014-06_NPL022_1,ERR771026,ERR867780,ERR867781
SAMEA3275646,OSD1_2014-06-21_0m_NPL022,OSD1_2014-06_NPL022_1,ERR771106,ERR867955,ERR867954
SAMEA3282984,OSD30_2014-06-20_2m_NPL022,OSD30_2014-06-20_2m_NPL022,ERR771015,ERR867759,ERR867758
SAMEA3282985,OSD113_2014-06-21_39m_NPL022,OSD113_2014-06-21_39m_NPL022,ERR771092,ERR867925,ERR867924
SAMEA3282986,OSD151_2014-06-21_0m_NPL022,OSD151_2014-06-21_0m_NPL022,ERR771060,ERR867861,ERR867860
SAMEA3282987,OSD21_2014-06-21_0m_NPL022,OSD21_2014-06-21_0m_NPL022,ERR771023,ERR867774,ERR867775
SAMEA3282988,OSD150_2014-06-21_0m_NPL022,OSD150_2014-06-21_0m_NPL022,ERR771061,ERR867862,ERR867863
SAMEA3282989,OSD6_2014-06-21_0m_NPL022,OSD6_2014-06-21_0m_NPL022,ERR770988,ERR867702,ERR867701
SAMEA3282990,OSD149_2014-06-21_0m_NPL022,OSD149_2014-06-21_0m_NPL022,ERR771064,ERR867868,ERR867869
SAMEA3340641,OSD164_2014-06-13_2m_NPL022,OSD164_2014-06-13_2m_NPL022,ERR855786,ERR855788,ERR855787
