sampleID_pangea,sampleID_imis,Campaign_pangea,Campaign_imis,Event_pangea,eventID_imis
OSD183_2014-06-24_3m_NPL022,OSD183_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD183_20140624T2158Z ,OSD183_2014-06
OSD184_2014-06-24_3m_NPL022,OSD184_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD184_20140624T1806Z ,OSD184_2014-06
OSD185_2014-06-24_3m_NPL022,OSD185_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD185_20140624T1434Z ,OSD185_2014-06
OSD186_2014-06-21_2.4m_NPL022,OSD186_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD186_20140621T1704Z ,OSD186_2014-06
OSD188_2014-06-24_0m_NPL022,OSD188_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD188_20140624T2148Z ,OSD188_2014-06
OSD189_2014-06-24_0m_NPL022,OSD189_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD189_20140624T1605Z ,OSD189_2014-06
OSD19_2014-06-23_2m_NPL022,OSD19_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD19_20140623T0730Z ,OSD19_2014-06
OSD190_2014-07-13_0m_NPL022,OSD190_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD190_20140713T0722Z ,OSD190_2014-06
OSD191_2014-07-02_0m_NPL022,OSD191_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD191_20140702T1433Z ,OSD191_2014-06
OSD2_2014-06-20_0m_NPL022,OSD2_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD2_20140620T1126Z ,OSD2_2014-06
OSD2_2014-06-20_1m_NE08,OSD2_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD2_20140620T1126Z,OSD2_2014-06
OSD20_2014-06-20_0m_NPL022,OSD20_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD20_20140620T1030Z ,OSD20_2014-06
OSD20_2014-06-20_20m_NPL022,OSD20_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD20_20140620T1030Z,OSD20_2014-06
OSD21_2014-06-21_0m_NPL022,OSD21_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD21_20140621T1055Z ,OSD21_2014-06
OSD22_2014-06-23_1m_NE08,OSD22_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD22_20140623T0800Z ,OSD22_2014-06
OSD22_2014-06-23_1m_NPL022,OSD22_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD22_20140623T0800Z,OSD22_2014-06
OSD24_2014-06-21_0m_NPL022,OSD24_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD24_20140621T1230Z ,OSD24_2014-06
OSD25_2014-06-21_0m_NPL022,OSD25_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD25_20140621T0900Z ,OSD25_2014-06
OSD26_2014-06-21_0m_NPL022,OSD26_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD26_20140621T1245Z ,OSD26_2014-06
OSD28_2014-06-21_0.2m_NPL022,OSD28_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD28_20140621T0415Z ,OSD28_2014-06
